w1,w2,w3,w4,color,connection
bamboo,dragon,season,wind,2,mahjong tiles
belly,hot,panic,snooze,3,___ button
hash,jumble,medley,stew,0,mishmash
challenge,confront,face,oppose,1,go up against
brood,clutch,hatch,litter,2,group of offspring
body,bridge,fret,neck,3,guitar parts
sight,smell,taste,touch,0,senses
dress,look,manner,style,1,appearance
ditto,likewise,same,second,2,“agree!”
blue,harvest,new,sailor,3,___ moon
brass,cheek,gall,nerve,0,shameless boldness
copper,gold,nickel,silver,1,metal elements
mercury,sky,sparks,liberty,2,w.n.b.a. teams
cars,elephants,swimmers,trees,3,things with trunks
build,grow,swell,mount,0,increase
aces,keen,neato,nifty,1,"excellent, in old slang"
foam,froth,head,lather,2,fine bubbles
bubble,globe,marble,pearl,3,spherical things
future,past,perfect,present,0,grammar tense terms
goodness,heavens,lord,mercy,1,“gracious me!”
drummer,lady,ring,swan,2,12 days of christmas
corn,cough,maple,simple,3,___ syrup
colony,herd,pride,school,0,animal groups
cranny,niche,nook,recess,1,small opening
classic,definitive,model,textbook,2,paradigmatic
backpack,bigwig,downtown,ragtag,3,rhyming compound words
focus,ring,silent,vibrate,0,cell phone modes
drive,inspire,motivate,spur,1,impel
connection,feelings,spark,vibe,2,romantic beginnings
candy,copy,knocks,seltzer,3,hard ___
chill,hang,loaf,lounge,0,relax
banger,bop,groove,jam,1,catchy song
mash,roast,scone,trifle,2,british cuisine
bind,pickle,scrape,spot,3,sticky situation
bowl,dish,plate,saucer,0,tableware
baloney,bunk,crock,tripe,1,nonsense
cup,hook,strap,wire,2,bra parts
laser,radar,scuba,spam,3,acronyms
den,hive,lair,nest,0,animal homes
cloud,metaverse,net,web,1,virtual spaces
equal,even,fair,just,2,equitable
good,impossible,nothing,warren,3,___ burger
fabricate,fake,fix,forge,0,falsify
fiddlesticks,fie,frick,fudge,1,mild oaths
fargo,firefly,fleabag,flipper,2,tv shows
fashion,food,forward,friends,3,fast ___
bore,drag,snooze,yawn,0,something tiresome
breeze,draft,gust,puff,1,bit of wind
bite,kick,tang,zip,2,piquancy
boxer,goggle,pant,tong,3,singular of things seen in pairs
boo,hiss,jeer,raspberry,0,taunts
bomb,dud,flop,lemon,1,failure
desert,ghost,ignore,jilt,2,rudely break off contact
bottom,candy,garden,star,3,rock ___
friday,saturday,sunday,thursday,0,days of the week
rot,sour,spoil,turn,1,go bad
fester,lurch,thing,wednesday,2,“the addams family” characters
cat,chance,lip,tuesday,3,fat ___
file,hammer,level,saw,0,tools
jerk,tug,wrench,yank,1,pull
copy,find,print,save,2,shortcut commands
babe,beethoven,charlotte,willy,3,title movie animals
bottom,buns,seat,tail,0,butt
cord,cradle,dial,handset,1,rotary phone parts
crib,digs,joint,pad,2,slang for home
booty,loot,spoils,swag,3,plunder
fava,kidney,lima,pinto,0,beans
lagos,limerick,lincoln,luxor,1,cities beginning with “l”
line,meter,rhyme,verse,2,poetry terms
creator,dude,rapper,stallion,3,“the(e) ___” rappers
block,cover,hide,mask,0,conceal
crown,dial,hand,strap,1,parts of a watch
lasso,shield,sword,tiara,2,wonder woman’s costume
candidate,faucet,mascara,nose,3,things that can run
action,camera,cut,lights,0,film set directives
can,could,may,might,1,conditional words
head,lead,prime,top,2,foremost
butcher,scrap,toilet,wax,3,___ paper
genesis,germ,seed,source,0,origin
acts,job,kings,mark,1,bible books
flames,kraken,stars,wild,2,n.h.l. teams
nap,plant,ranger,trip,3,power ___
corn,cucumber,pepper,tomato,0,crops
crown,dome,melon,noodle,1,slang for head
cut,number,single,track,2,song
bird,kettle,referee,train,3,things that whistle
anniversary,birthday,shower,wedding,0,celebratory occasions
bars,reception,service,signal,1,phone connectivity
bath,derby,reading,sandwich,2,cities and towns in england
comic,met,rock,soap,3,___ opera
darren,karen,sharon,aaron,0,rhymes
dale,brook,savanna,cliff,1,natural features
drew,rose,will,may,2,irregular verbs
eve,hannah,otto,natan,3,palindromes
dead,haha,lol,rofl,0,"laughter, in a text"
dada,deco,gothic,pop,1,art movements
hook,nana,peter,wendy,2,“peter pan” characters
bird,gaga,luck,macbeth,3,lady ___
arm,branch,chapter,wing,0,division
bushel,peck,stone,ton,1,imperial units
angel,cub,met,red,2,m.l.b. team member
aunt,beatle,flee,nat,3,insect homophones
mistletoe,reindeer,snowman,stocking,0,christmas-related
display,exhibit,present,show,1,make public
bagel,cheerio,donut,lifesaver,2,torus-shaped food
candy cane,crosswalk,referee,tiger,3,things with stripes
afghan,alpaca,angora,yak,0,long-haired animals
blather,chat,jabber,gab,1,prattle on
converse,jordan,puma,vans,2,sneaker brands
lead,speech,trial,water,3,___ balloon
bow,kneel,salute,stand,0,ways to show respect
clock,mail,maps,notes,1,iphone apps
down,fur,scales,shell,2,animal coverings
arrow,dog,finger,hint,3,“pointers”
cup,lid,stirrer,straw,0,coffee counter items
bat,moth,owl,wolf,1,nocturnal animals
beet,brick,cardinal,poppy,2,things that are red
action,ballpark,go,stick,3,___ figure
club,diamond,heart,spade,0,playing card suits
iron,putter,wedge,wood,1,golf clubs
ache,long,pine,thirst,2,yearn
low,short,shy,wanting,3,insufficient
central,critical,key,vital,0,very important
glass,metal,paper,plastic,1,recyclng categories
henry,jennifer,kate,rock,2,hudsons
assignment,defeat,tempo,tired,3,what “beat” may mean
flash,gleam,glitter,sparkle,0,reflect light
fish,forage,hunt,trap,1,ways to gather food
bounce,crunk,drill,grime,2,rap subgenres
beer,bulb,rail,year,3,light ___
acorn,cone,pollen,sap,0,produced by trees
chocolate,gum,licorice,lollipop,1,candy store treats
chump,fool,mark,sucker,2,target of a scheme
face,hurricane,needle,potato,3,things with eye(s)
boa,mamba,python,viper,0,snakes
garter,slip,teddy,thong,1,lingerie
abstract,brief,digest,rundown,2,summary
circle,house,monty,moon,3,full ___
bouquet,ring,train,veil,0,bridal accessories
cake,coat,cover,crust,1,“c” words for “envelop”
black,frost,ma,sparrow,2,jacks
book,gram,in,tube,3,social media app endings
grater,ladle,peeler,whisk,0,kitchen utensils
bird,fish,mammal,reptile,1,vertebrates
dinosaur,mushroom,plumber,princess,2,super mario-related
bunker,cleaver,partridge,tanner,3,sitcom families
fit,healthy,sound,strong,0,robust
dip,drop,fall,sink,1,decline
fountain,spring,tap,well,2,water sources
keys,nicks,summer,swift,3,women singers
float,malt,shake,sundae,0,soda fountain orders
concrete,firm,solid,tangible,1,"set, as plans"
glass,old,signs,split,2,m. night shyamalan movies
dash,hover,key,star,3,___board
bartender,chef,host,server,0,restaurant workers
bus,car,motorcycle,truck,1,motor vehicles
animal,beaker,gonzo,scooter,2,muppets
digit,dog,mitt,piggy,3,hand- and foot-related slang
backup,copy,extra,spare,0,replacement
alley,ball,lane,pin,1,bowling
mug,pen,tee,tote,2,common merch items
ate,for,too,won,3,number homophones
bookmark,history,tab,window,0,web browser-related
button,collar,cuff,pocket,1,shirt features
bond,link,relation,tie,2,connection
dozen,joke,laundry,martini,3,dirty ___
bright,clever,quick,sharp,0,intelligent
alaska,frontier,southwest,spirit,1,airlines
cowboy,drifter,outlaw,sheriff,2,western tropes
lasso,mars,rogers,smart,3,tv show title surnames
apricot,fig,grape,lime,0,fruits
deluxe,grand,lavish,opulent,1,luxurious
berry,foster,stone,swank,2,best actress oscar winners
envious,fresh,naive,unwell,3,what “green” might mean
giant,princess,witch,wolf,0,fairy tale figures
bishop,mate,gambit,queen,1,chess terms
charlie,peppermint patty,pigpen,woodstock,2,“peanuts” characters
lucy,new york,rock 'n roll,you,3,i love ___
buffalo,cow,goat,sheep,0,bovids
beam,glow,radiate,shine,1,emit light
floor,horse,rings,vault,2,gymnastics apparatus
cutie,envy,excel,seedy,3,words that sound like two letters
iris,lens,pupil,retina,0,eye parts
bogus,fake,phony,sham,1,counterfeit
copy,out,over,roger,2,radio lingo
alejandro,lola,michelle,stan,3,songs that are names
get out,go,leave,scram,0,“skedaddle!”
me,them,us,you,1,pronouns
nope,open,peon,pone,2,anagrams
beanie,fur,nepo,santa,3,___ baby
chai,cocoa,coffee,tea,0,hot drinks
buzz,cluck,meow,oink,1,animal sounds
bark,branch,root,trunk,2,tree features
dirt,dish,scoop,skinny,3,inside info
bat,cobweb,pumpkin,tombstone,0,halloween decorations
24,bones,firefly,weeds,1,tv shows
7,bar,bell,cherry,2,slot machine symbols
22,451,2001,20,3,numbers in book titles
anaconda,capybara,jaguar,toucan,0,amazon animals
base,bottom,foot,foundation,1,lowest point
company,grease,hair,rent,2,musicals
change,cucumber,legs,lion,3,sea ___
ball,out,safe,strike,0,baseball calls
forge,furnace,kiln,oven,1,heat sources
carp,catfish,flounder,smelt,2,fish that are verbs
colonel,salmon,walk,yolk,3,silent “l”
essence,heart,spirit,soul,0,inherent nature
cider,port,sake,stout,1,fermeneted alcoholic beverages
brave,cars,coco,up,2,pixar movies
demo,red,scotch,ticker,3,___ tape
horror,picture,rocky,show,0,rocky horror picture show
framed,rabbit,roger,who,1,who framed roger rabbit
harry,met,sally,when,2,when harry met sally
fury,mad,max,road,3,mad max fury road
gnome,goblin,ogre,troll,0,creatures in folklore
bud,leaf,petal,stalk,1,flower parts
agent,mole,plant,spy,2,one involved in espionage
dragon,horse,rabbit,tiger,3,chinese zodiac animals
chart,diagram,graph,map,0,information displays
bonus,extra,icing,perk,1,additional benefit
gravy,pie,stuffing,turkey,2,thanksgiving food
i ran,istanbul,montero,satisfaction,3,song titles with parentheses
brush,canvas,easel,palette,0,painting accessories
drive,neutral,park,reverse,1,automatic transmission settings
comb,gear,saw,zipper,2,things with teeth
first,folding,high,lawn,3,___ chair
cow,doe,hen,mare,0,female animals
i,it,they,we,1,pronouns
d,l,m,v,2,roman numerals
ewe,u,yew,you,3,homophones
bare,naked,nude,unclad,0,au naturel
bun,danish,muffin,turnover,1,baked goods
fumble,punt,sack,snap,2,american football actions
buff,clip,file,polish,3,manicure steps
goblet,snifter,tumbler,stein,0,drink vessels
clarinet,flute,oboe,saxophone,1,woodwinds
bishop,frost,olds,pound,2,american poets
balloon,bassoon,coffee,fricassee,3,consecutive double letters
fry,nacho,popper,wing,0,appetizer unit
bingo,correct,right,yes,1,response to a correct answer
chip,ding,nick,scratch,2,mar
apple,cracker,flap,lumber,3,___jack
sandbox,seesaw,slide,swing,0,playground fixtures
clout,pull,sway,weight,1,influence
ankh,crook,eye,scarab,2,egyptian symbols
courier,impact,papyrus,times,3,fonts
book,bounce,run,split,0,depart quickly
fox,ibex,lynx,oryx,1,animals that end with “x”
ebony,jet,onyx,raven,2,shades of black
ash,black,cyber,fat,3,words before days of the week
bliss,cloud nine,heaven,paradise,0,states of elation
con,fast one,hustle,racket,1,scam
high five,hug,shake,wave,2,greeting gestures
bucket,guest,top ten,wish,3,___ list
breast,drumstick,tender,wing,0,pieces of chicken
driver,eagle,hole,stroke,1,golf terms
cymbal,kick,snare,tom,2,drum set components
infant,pub,swimming,ticker,3,associated with “crawl”
risk,sorry,taboo,trouble,0,board games
business,national,opinion,style,1,newspaper sections
atlas,hermes,nike,paris,2,figures in greek myth
foxy,gucci,killer,notorious,3,first words in rappers' names
bash,blowout,party,shindig,0,social gathering
counter,mixer,range,sink,1,found in a kitchen
cricket,puppet,whale,woodcarver,2,“pinocchio” figures
bunny,egg,island,sunday,3,easter ___
dodo,mammoth,mastodon,trilobite,0,extinct animals
busts,flops,misses,turkeys,1,failures
duds,getup,outfit,threads,2,slang for clothes
peck,smack,smooch,x,3,kiss
beard,goatee,mustache,stubble,0,facial hair
gear,handlebar,pedal,wheel,1,bike parts
dog,follow,tail,track,2,pursue
doubt,movie,shadow,vote,3,things that are cast
actor,dancer,singer,stand-up,0,performing artists
comet,cupid,dasher,vixen,1,santa's reindeer
card,chocolate,heart,rose,2,seen on valentine's day
boys,lieutenant,santa,taste,3,"bad ___ movies"""
arizona,colorado,nevada,utah,0,u.s. mountain states
crush,mug,sprite,squirt,1,soda brands
genesis,kansas,rush,yes,2,classic rock bands
hawk,montana,soprano,stark,3,tony ___
cooler,lantern,sleeping bag,tent,0,camping supplies
barb,dig,diss,jab,1,insult
minute,slight,small,wee,2,tiny
camper,hour,meal,medium,3,happy ___
bud,chum,mate,pal,0,friend
crock,pot,skillet,wok,1,cookwear
clog,pump,slide,wedge,2,shoes
grass,herb,mary jane,weed,3,slang for cannabis
cup,gallon,pint,quart,0,units of volume
awful,quite,super,very,1,extremely
rand,real,sterling,won,2,world currencies
carrot,coffee,pound,sponge,3,___ cake
cake,cobbler,pie,tart,0,desserts
fisher,mason,miller,smith,1,occupational surnames
distort,doctor,fudge,twist,2,alter deceptively
dance,meal,one,root,3,square ___
century,decade,millennium,year,0,time periods
cereal,omelet,pancake,waffle,1,breakfast foods
bacon,close,munch,whistler,2,painters
egg,juror,month,rose,3,one in a dozen
gas,liquid,plasma,solid,0,states of matter
juice,spirit,steam,vigor,1,energy
air,earth,fire,water,2,classical elements
circus,saturn,tree,wedding,3,things with rings
fido,lucky,rover,spot,0,classic dog names
catch,notice,observe,see,1,perceive
bait,chum,fly,sinker,2,fishing terms
bone,rex,shirt,storm,3,t-___
buckle,button,snap,zip,0,fastening verbs
jack,nada,nothing,squat,1,slang for zero
curl,lunge,plank,press,2,gym exercises
crunch,kangaroo,obvious,planet,3,captains
co,ma,me,pa,0,state abbreviations
do,fa,la,ti,1,musical notes
mu,nu,pi,xi,2,greek letters
fe,he,na,ni,3,periodic table symbols
einstein,feynman,hawking,oppenheimer,0,theoretical physicists
faculty,flair,genius,gift,1,talent
barbie,bush,crikey,mate,2,australian terms
match,moot,selling,west,3,___ point
purge,ring,saw,scream,0,horror franchises
court,diamond,field,rink,1,sports venues
charm,delight,please,tickle,2,make happy
anklet,bangle,brooch,pendant,3,jewelry
few,handful,several,some,0,unspecified quantities
asteroid,comet,moon,planet,1,celestial objects
globe,journal,post,sun,2,newspapers
lyme,mellon,pair,plumb,3,fruit homophones
mite,scorpion,spider,tick,0,arachnids
char,eel,perch,shark,1,fish
black widow,blade,flash,storm,2,superheroes
catfish,cribs,jackass,state,3,mtv shows
horror,musical,romance,western,0,movie genres
houndstooth,paisley,plaid,stripes,1,patterns
fib,fiction,lie,tale,2,synonyms for falsehood
dot,goober,kiss,whopper,3,candy pieces
asteroids,breakout,frogger,pong,0,classic arcade games
hustle,salsa,swing,tango,1,dances
pinch,spread,swipe,tap,2,touchscreen gestures
cent,chainz,pac,savage,3,rappers minus numbers
blocks,doll,top,yo-yo,0,classic toys
baggage,eggnog,giggle,leggings,1,words with three g's
duncan,juliet,puck,viola,2,shakespeare characters
fish,hockey,memory,selfie,3,___ stick
altar,reliquary,shrine,temple,0,places for worship
felix,garfield,sylvester,tom,1,cartoon cats
calvin,chester,grover,harry,2,presidential first names
abbey,high,rocky,silk,3,___ road
colony,herd,pride,swarm,0,animal group names
baked,blazed,high,lit,1,stoned
bio,chem,gov,stats,2,ap classes
class,domain,family,order,3,taxonomy ranks
keyboard,monitor,mouse,speaker,0,computer equipment
gerbil,hamster,rat,vole,1,rodents
harp,horn,organ,triangle,2,musical instruments
carp,gripe,grouse,moan,3,synonyms for complain
hero,hoagie,grinder,sub,0,long sandwiches
bumble,hinge,match,tinder,1,dating apps
blade,lost boys,near dark,twilight,2,vampire movies
ant,driver,scott,west,3,adams
foot,inch,mile,yard,0,units of length
acrylic,oil,tempera,watercolor,1,types of paint
falafel,katsu,samosa,schnitzel,2,deep-fried food
dim,nick,pen,quart,3,starts of u.s. coins
aunt,cousin,mother,nephew,0,relatives
daffy,kooky,quirky,wacky,1,synonyms for offbeat
daisy,dewey,donald,scrooge,2,disney ducks
alarm,biological,cuckoo,grandfather,3,___ clock
corduroy,denim,linen,tweed,0,fabrics
ghost,phantom,specter,spirit,1,apparitions
needle,poke,rib,tease,2,synonyms for bother
beast,genie,scar,stitch,3,disney characters
desert,forest,grassland,tundra,0,biomes
